title	year	rank	watched
Crank 	2006	-99	1
Crank: High Voltage 	2009	-99	1
Crash		-99	1
Crazy Heart		-99	1
Creed		-99	1
Criminal 	2016	-99	1
Crimson Tide		-99	1
Cruising		-99	1
Dan in Real Life		-99	1
Dark Blood		-99	1
Date Night		-99	1
Days of Heaven		-99	1
Dazed and Confused		-99	1
Dead Alive		-99	1
Dead Man Walking		-99	1
Dead Presidents		-99	1
Death At A Funeral		-99	1
Death Race 	2008	-99	1
Death To Smoochy		-99	1
Deconstructing Harry		-99	1
Deep Cover		-99	1
Deep Impact		-99	1
Deepwater Horizon 	2016	-99	1
Defendor		-99	0
Definitely, Maybe		-99	1
Deja Vu		-99	1
Delivery Man		-99	1
Demolition Man		-99	1
Derailed		-99	1
Deuce Bigalow: European Gigolo		-99	1
Deuce Bigalow: Male Gigolo		-99	1
Did You Hear About The Morgans		-99	1
Die Hard with A Vengeance		-99	1
Die Hard		-99	1
Diner		-99	1
Disconnect		-99	1
Divergent		-99	1
Divine Secrets of the Ya-Ya Sisterhood		-99	1
Django Unchained		-99	1
Dodgeball		-99	1
Dog Day Afternoon		-99	1
Dogfight		-99	1
Dogma		-99	1
Dom Hemingway		-99	1
Domino		-99	1
Don Jon		-99	1
Donnie Brasco		-99	1
Donnie Darko		-99	1
Double Jeopardy		-99	1
Doubt		-99	1
Down in the Valley		-99	1
Down to Earth		-99	1
Downfall		-99	1
Draft Day		-99	1
Drinking Buddies		-99	1
Drive		-99	1
Drugstore Cowboy		-99	1
Due Date		-99	1
Eastern Promises		-99	1
Easy A		-99	1
Easy Rider		-99	1
Edge of Tomorrow		-99	1
EDtv		-99	1
Edward Scissorhands		-99	1
Election		-99	1
Elektra Luxx		-99	1
Elephant		-99	1
Elf		-99	1
Elizabethtown		-99	1
Extract		-99	1
Extremely Loud & Incredibly Close		-99	1
Eye of the Needle 	1981	-99	1
Fallen		-99	1
Fanboys		-99	1
Fantastic Beasts and Where to Find Them 	2016	-99	1
Fast Food Nation		-99	1
Fast Times At Ridgemont High		-99	1
Fear and Loathing in Las Vegas		-99	1
Fences 	2016	-99	1
FernGully: The Last Rainforest		-99	1
Ferris Bueller's Day Off		-99	1
Field of Dreams 	1989	-99	1
Fifty Shades of Grey 	2015	-99	1
Fight Club		-99	1
Filth		-99	1
Finding Neverland		-99	1
Five Easy Pieces		-99	1
Flags Of Our Fathers		-99	1
Flawless		-99	1
Flight		-99	1
Flipped		-99	1
Floored		-99	1
Flypaper		-99	0
Focus		-99	1
Forget Paris		-99	1
Forgetting Sarah Marshall		-99	1
Forrest Gump		-99	1
Four Brothers 	2005	-99	1
Four Christmases		-99	1
Four Weddings and a Funeral 	1994	-99	1
Fracture		-99	1
Friday After Next		-99	1
Friday Night Lights		-99	1
Friday		-99	1
