,avg_drop,avg_gross,best_gross,best_movie,best_pcttotal,month,month_name,num_movies,pctyr_totalgross,total_tickets,year
1816,-45.9%,$54.7,$333.2,Guardians of the Galaxy,32.1%,8,AUGUST,19,10.4%,"$1,039.5",2014
1817,-46.0%,$55.9,$208.5,Dawn of the Planet of the Apes,26.7%,8,JULY,14,7.9%,$782.5,2014
1818,-57.9%,$119.1,$245.4,Transformers 4,25.8%,8,JUNE,8,9.6%,$952.6,2014
1819,-46.2%,$100.8,$241.4,Maleficent,20.0%,8,MAY,12,12.1%,"$1,209.7",2014
1820,-49.6%,$59.4,$259.8,Captain America 2,36.4%,8,APRIL,12,7.2%,$712.9,2014
1821,-46.1%,$60.4,$150.9,Divergent,20.8%,8,MARCH,12,7.3%,$724.7,2014
1822,-57.1%,$57.9,$257.8,The LEGO Movie,37.1%,8,FEBRUARY,12,7.0%,$694.8,2014
1823,-42.4%,$42.5,$134.9,Ride Along,22.7%,8,JANUARY,14,6.0%,$594.7,2014
1824,-25.2%,$80.7,$255.1,The Hobbit 3,26.3%,9,DECEMBER,12,9.7%,$968.7,2014
1825,-47.3%,$106.5,$337.1,Mockingjay Part 1,31.7%,9,NOVEMBER,10,10.7%,"$1,064.5",2014
1826,-50.1%,$44.0,$167.8,Gone Girl,21.2%,9,OCTOBER,18,8.0%,$792.3,2014
1827,-52.3%,$42.5,$102.4,The Maze Runner,24.1%,9,SEPTEMBER,10,4.3%,$425.3,2014
1828,-45.9%,$54.7,$333.2,Guardians of the Galaxy,32.1%,9,AUGUST,19,10.4%,"$1,039.5",2014
1829,-46.0%,$55.9,$208.5,Dawn of the Planet of the Apes,26.7%,9,JULY,14,7.9%,$782.5,2014
1830,-57.9%,$119.1,$245.4,Transformers 4,25.8%,9,JUNE,8,9.6%,$952.6,2014
1831,-46.2%,$100.8,$241.4,Maleficent,20.0%,9,MAY,12,12.1%,"$1,209.7",2014
1832,-49.6%,$59.4,$259.8,Captain America 2,36.4%,9,APRIL,12,7.2%,$712.9,2014
1833,-46.1%,$60.4,$150.9,Divergent,20.8%,9,MARCH,12,7.3%,$724.7,2014
1834,-57.1%,$57.9,$257.8,The LEGO Movie,37.1%,9,FEBRUARY,12,7.0%,$694.8,2014
1835,-42.4%,$42.5,$134.9,Ride Along,22.7%,9,JANUARY,14,6.0%,$594.7,2014
1836,-25.2%,$80.7,$255.1,The Hobbit 3,26.3%,10,DECEMBER,12,9.7%,$968.7,2014
1837,-47.3%,$106.5,$337.1,Mockingjay Part 1,31.7%,10,NOVEMBER,10,10.7%,"$1,064.5",2014
1838,-50.1%,$44.0,$167.8,Gone Girl,21.2%,10,OCTOBER,18,8.0%,$792.3,2014
1839,-52.3%,$42.5,$102.4,The Maze Runner,24.1%,10,SEPTEMBER,10,4.3%,$425.3,2014
1840,-45.9%,$54.7,$333.2,Guardians of the Galaxy,32.1%,10,AUGUST,19,10.4%,"$1,039.5",2014
1841,-46.0%,$55.9,$208.5,Dawn of the Planet of the Apes,26.7%,10,JULY,14,7.9%,$782.5,2014
1842,-57.9%,$119.1,$245.4,Transformers 4,25.8%,10,JUNE,8,9.6%,$952.6,2014
1843,-46.2%,$100.8,$241.4,Maleficent,20.0%,10,MAY,12,12.1%,"$1,209.7",2014
1844,-49.6%,$59.4,$259.8,Captain America 2,36.4%,10,APRIL,12,7.2%,$712.9,2014
1845,-46.1%,$60.4,$150.9,Divergent,20.8%,10,MARCH,12,7.3%,$724.7,2014
1846,-57.1%,$57.9,$257.8,The LEGO Movie,37.1%,10,FEBRUARY,12,7.0%,$694.8,2014
1847,-42.4%,$42.5,$134.9,Ride Along,22.7%,10,JANUARY,14,6.0%,$594.7,2014
1848,-25.2%,$80.7,$255.1,The Hobbit 3,26.3%,11,DECEMBER,12,9.7%,$968.7,2014
1849,-47.3%,$106.5,$337.1,Mockingjay Part 1,31.7%,11,NOVEMBER,10,10.7%,"$1,064.5",2014
1850,-50.1%,$44.0,$167.8,Gone Girl,21.2%,11,OCTOBER,18,8.0%,$792.3,2014
1851,-52.3%,$42.5,$102.4,The Maze Runner,24.1%,11,SEPTEMBER,10,4.3%,$425.3,2014
1852,-45.9%,$54.7,$333.2,Guardians of the Galaxy,32.1%,11,AUGUST,19,10.4%,"$1,039.5",2014
1853,-46.0%,$55.9,$208.5,Dawn of the Planet of the Apes,26.7%,11,JULY,14,7.9%,$782.5,2014
1854,-57.9%,$119.1,$245.4,Transformers 4,25.8%,11,JUNE,8,9.6%,$952.6,2014
1855,-46.2%,$100.8,$241.4,Maleficent,20.0%,11,MAY,12,12.1%,"$1,209.7",2014
1856,-49.6%,$59.4,$259.8,Captain America 2,36.4%,11,APRIL,12,7.2%,$712.9,2014
1857,-46.1%,$60.4,$150.9,Divergent,20.8%,11,MARCH,12,7.3%,$724.7,2014
1858,-57.1%,$57.9,$257.8,The LEGO Movie,37.1%,11,FEBRUARY,12,7.0%,$694.8,2014
1859,-42.4%,$42.5,$134.9,Ride Along,22.7%,11,JANUARY,14,6.0%,$594.7,2014
1860,-25.2%,$80.7,$255.1,The Hobbit 3,26.3%,12,DECEMBER,12,9.7%,$968.7,2014
1861,-47.3%,$106.5,$337.1,Mockingjay Part 1,31.7%,12,NOVEMBER,10,10.7%,"$1,064.5",2014
1862,-50.1%,$44.0,$167.8,Gone Girl,21.2%,12,OCTOBER,18,8.0%,$792.3,2014
1863,-52.3%,$42.5,$102.4,The Maze Runner,24.1%,12,SEPTEMBER,10,4.3%,$425.3,2014
1864,-45.9%,$54.7,$333.2,Guardians of the Galaxy,32.1%,12,AUGUST,19,10.4%,"$1,039.5",2014
1865,-46.0%,$55.9,$208.5,Dawn of the Planet of the Apes,26.7%,12,JULY,14,7.9%,$782.5,2014
1866,-57.9%,$119.1,$245.4,Transformers 4,25.8%,12,JUNE,8,9.6%,$952.6,2014
1867,-46.2%,$100.8,$241.4,Maleficent,20.0%,12,MAY,12,12.1%,"$1,209.7",2014
1868,-49.6%,$59.4,$259.8,Captain America 2,36.4%,12,APRIL,12,7.2%,$712.9,2014
1869,-46.1%,$60.4,$150.9,Divergent,20.8%,12,MARCH,12,7.3%,$724.7,2014
1870,-57.1%,$57.9,$257.8,The LEGO Movie,37.1%,12,FEBRUARY,12,7.0%,$694.8,2014
1871,-42.4%,$42.5,$134.9,Ride Along,22.7%,12,JANUARY,14,6.0%,$594.7,2014
1872,-31.8%,$92.4,$750.2,Star Wars: The Force Awakens,62.5%,1,DECEMBER,13,11.3%,"$1,201.3",2015
1873,-48.2%,$66.0,$274.6,The Hunger Games: Mockingjay - Part 2,27.8%,1,NOVEMBER,15,9.3%,$989.4,2015
1874,-54.1%,$30.6,$226.0,The Martian,36.9%,1,OCTOBER,20,5.8%,$612.6,2015
1875,-52.2%,$42.2,$168.8,Hotel Transylvania 2,26.7%,1,SEPTEMBER,15,6.0%,$633.1,2015
1876,-46.7%,$37.3,$161.2,Straight Outta Compton,30.9%,1,AUGUST,14,4.9%,$521.6,2015
1877,-47.9%,$84.0,$336.0,Minions,26.7%,1,JULY,15,11.9%,"$1,259.9",2015
1878,-51.0%,$150.9,$652.3,Jurassic World,48.0%,1,JUNE,9,12.8%,"$1,358.3",2015
1879,-59.3%,$105.6,$459.0,Avengers: Age of Ultron,39.5%,1,MAY,11,10.9%,"$1,162.1",2015
1880,-44.1%,$45.6,$353.0,Furious 7,55.3%,1,APRIL,14,6.0%,$638.0,2015
1881,-49.3%,$67.2,$201.2,Cinderella,27.2%,1,MARCH,11,7.0%,$738.8,2015
1882,-41.4%,$64.7,$166.2,Fifty Shades of Grey,23.4%,1,FEBRUARY,11,6.7%,$711.3,2015
