,avg_drop,avg_gross,best_gross,best_movie,best_pcttotal,month,month_name,num_movies,pctyr_totalgross,total_tickets,year
290,-38.1%,$58.3,$160.9,Shark Tale,23.0%,1,OCTOBER,12,7.9%,$699.7,2004
291,-47.7%,$23.6,$67.1,The Forgotten,21.9%,1,SEPTEMBER,13,3.5%,$306.7,2004
292,-42.3%,$41.8,$101.0,Collateral,16.1%,1,AUGUST,15,7.1%,$626.6,2004
293,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,1,JULY,11,8.6%,$764.6,2004
294,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,1,JUNE,12,14.9%,"$1,322.2",2004
295,-46.7%,$119.9,$441.2,Shrek 2,46.0%,1,MAY,8,10.8%,$959.5,2004
296,-48.5%,$35.2,$86.1,Mean Girls,12.9%,1,APRIL,19,7.5%,$669.5,2004
297,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,1,MARCH,12,5.8%,$512.7,2004
298,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,1,FEBRUARY,12,8.4%,$749.2,2004
299,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,1,JANUARY,13,4.6%,$410.2,2004
300,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,2,DECEMBER,13,11.0%,$973.4,2004
301,-43.9%,$89.0,$261.4,The Incredibles,29.4%,2,NOVEMBER,10,10.0%,$889.8,2004
302,-38.1%,$58.3,$160.9,Shark Tale,23.0%,2,OCTOBER,12,7.9%,$699.7,2004
303,-47.7%,$23.6,$67.1,The Forgotten,21.9%,2,SEPTEMBER,13,3.5%,$306.7,2004
304,-42.3%,$41.8,$101.0,Collateral,16.1%,2,AUGUST,15,7.1%,$626.6,2004
305,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,2,JULY,11,8.6%,$764.6,2004
306,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,2,JUNE,12,14.9%,"$1,322.2",2004
307,-46.7%,$119.9,$441.2,Shrek 2,46.0%,2,MAY,8,10.8%,$959.5,2004
308,-48.5%,$35.2,$86.1,Mean Girls,12.9%,2,APRIL,19,7.5%,$669.5,2004
309,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,2,MARCH,12,5.8%,$512.7,2004
310,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,2,FEBRUARY,12,8.4%,$749.2,2004
311,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,2,JANUARY,13,4.6%,$410.2,2004
312,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,3,DECEMBER,13,11.0%,$973.4,2004
313,-43.9%,$89.0,$261.4,The Incredibles,29.4%,3,NOVEMBER,10,10.0%,$889.8,2004
314,-38.1%,$58.3,$160.9,Shark Tale,23.0%,3,OCTOBER,12,7.9%,$699.7,2004
315,-47.7%,$23.6,$67.1,The Forgotten,21.9%,3,SEPTEMBER,13,3.5%,$306.7,2004
316,-42.3%,$41.8,$101.0,Collateral,16.1%,3,AUGUST,15,7.1%,$626.6,2004
317,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,3,JULY,11,8.6%,$764.6,2004
318,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,3,JUNE,12,14.9%,"$1,322.2",2004
319,-46.7%,$119.9,$441.2,Shrek 2,46.0%,3,MAY,8,10.8%,$959.5,2004
320,-48.5%,$35.2,$86.1,Mean Girls,12.9%,3,APRIL,19,7.5%,$669.5,2004
321,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,3,MARCH,12,5.8%,$512.7,2004
322,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,3,FEBRUARY,12,8.4%,$749.2,2004
323,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,3,JANUARY,13,4.6%,$410.2,2004
324,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,4,DECEMBER,13,11.0%,$973.4,2004
325,-43.9%,$89.0,$261.4,The Incredibles,29.4%,4,NOVEMBER,10,10.0%,$889.8,2004
326,-38.1%,$58.3,$160.9,Shark Tale,23.0%,4,OCTOBER,12,7.9%,$699.7,2004
327,-47.7%,$23.6,$67.1,The Forgotten,21.9%,4,SEPTEMBER,13,3.5%,$306.7,2004
328,-42.3%,$41.8,$101.0,Collateral,16.1%,4,AUGUST,15,7.1%,$626.6,2004
329,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,4,JULY,11,8.6%,$764.6,2004
330,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,4,JUNE,12,14.9%,"$1,322.2",2004
331,-46.7%,$119.9,$441.2,Shrek 2,46.0%,4,MAY,8,10.8%,$959.5,2004
332,-48.5%,$35.2,$86.1,Mean Girls,12.9%,4,APRIL,19,7.5%,$669.5,2004
333,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,4,MARCH,12,5.8%,$512.7,2004
334,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,4,FEBRUARY,12,8.4%,$749.2,2004
335,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,4,JANUARY,13,4.6%,$410.2,2004
336,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,5,DECEMBER,13,11.0%,$973.4,2004
337,-43.9%,$89.0,$261.4,The Incredibles,29.4%,5,NOVEMBER,10,10.0%,$889.8,2004
338,-38.1%,$58.3,$160.9,Shark Tale,23.0%,5,OCTOBER,12,7.9%,$699.7,2004
339,-47.7%,$23.6,$67.1,The Forgotten,21.9%,5,SEPTEMBER,13,3.5%,$306.7,2004
340,-42.3%,$41.8,$101.0,Collateral,16.1%,5,AUGUST,15,7.1%,$626.6,2004
341,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,5,JULY,11,8.6%,$764.6,2004
342,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,5,JUNE,12,14.9%,"$1,322.2",2004
343,-46.7%,$119.9,$441.2,Shrek 2,46.0%,5,MAY,8,10.8%,$959.5,2004
344,-48.5%,$35.2,$86.1,Mean Girls,12.9%,5,APRIL,19,7.5%,$669.5,2004
345,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,5,MARCH,12,5.8%,$512.7,2004
346,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,5,FEBRUARY,12,8.4%,$749.2,2004
347,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,5,JANUARY,13,4.6%,$410.2,2004
348,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,6,DECEMBER,13,11.0%,$973.4,2004
349,-43.9%,$89.0,$261.4,The Incredibles,29.4%,6,NOVEMBER,10,10.0%,$889.8,2004
350,-38.1%,$58.3,$160.9,Shark Tale,23.0%,6,OCTOBER,12,7.9%,$699.7,2004
351,-47.7%,$23.6,$67.1,The Forgotten,21.9%,6,SEPTEMBER,13,3.5%,$306.7,2004
352,-42.3%,$41.8,$101.0,Collateral,16.1%,6,AUGUST,15,7.1%,$626.6,2004
353,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,6,JULY,11,8.6%,$764.6,2004
354,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,6,JUNE,12,14.9%,"$1,322.2",2004
355,-46.7%,$119.9,$441.2,Shrek 2,46.0%,6,MAY,8,10.8%,$959.5,2004
356,-48.5%,$35.2,$86.1,Mean Girls,12.9%,6,APRIL,19,7.5%,$669.5,2004
357,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,6,MARCH,12,5.8%,$512.7,2004
358,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,6,FEBRUARY,12,8.4%,$749.2,2004
359,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,6,JANUARY,13,4.6%,$410.2,2004
360,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,7,DECEMBER,13,11.0%,$973.4,2004
361,-43.9%,$89.0,$261.4,The Incredibles,29.4%,7,NOVEMBER,10,10.0%,$889.8,2004
362,-38.1%,$58.3,$160.9,Shark Tale,23.0%,7,OCTOBER,12,7.9%,$699.7,2004
363,-47.7%,$23.6,$67.1,The Forgotten,21.9%,7,SEPTEMBER,13,3.5%,$306.7,2004
364,-42.3%,$41.8,$101.0,Collateral,16.1%,7,AUGUST,15,7.1%,$626.6,2004
365,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,7,JULY,11,8.6%,$764.6,2004
366,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,7,JUNE,12,14.9%,"$1,322.2",2004
367,-46.7%,$119.9,$441.2,Shrek 2,46.0%,7,MAY,8,10.8%,$959.5,2004
368,-48.5%,$35.2,$86.1,Mean Girls,12.9%,7,APRIL,19,7.5%,$669.5,2004
369,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,7,MARCH,12,5.8%,$512.7,2004
370,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,7,FEBRUARY,12,8.4%,$749.2,2004
371,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,7,JANUARY,13,4.6%,$410.2,2004
372,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,8,DECEMBER,13,11.0%,$973.4,2004
373,-43.9%,$89.0,$261.4,The Incredibles,29.4%,8,NOVEMBER,10,10.0%,$889.8,2004
374,-38.1%,$58.3,$160.9,Shark Tale,23.0%,8,OCTOBER,12,7.9%,$699.7,2004
375,-47.7%,$23.6,$67.1,The Forgotten,21.9%,8,SEPTEMBER,13,3.5%,$306.7,2004
376,-42.3%,$41.8,$101.0,Collateral,16.1%,8,AUGUST,15,7.1%,$626.6,2004
377,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,8,JULY,11,8.6%,$764.6,2004
378,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,8,JUNE,12,14.9%,"$1,322.2",2004
379,-46.7%,$119.9,$441.2,Shrek 2,46.0%,8,MAY,8,10.8%,$959.5,2004
380,-48.5%,$35.2,$86.1,Mean Girls,12.9%,8,APRIL,19,7.5%,$669.5,2004
381,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,8,MARCH,12,5.8%,$512.7,2004
382,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,8,FEBRUARY,12,8.4%,$749.2,2004
383,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,8,JANUARY,13,4.6%,$410.2,2004
384,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,9,DECEMBER,13,11.0%,$973.4,2004
385,-43.9%,$89.0,$261.4,The Incredibles,29.4%,9,NOVEMBER,10,10.0%,$889.8,2004
386,-38.1%,$58.3,$160.9,Shark Tale,23.0%,9,OCTOBER,12,7.9%,$699.7,2004
387,-47.7%,$23.6,$67.1,The Forgotten,21.9%,9,SEPTEMBER,13,3.5%,$306.7,2004
388,-42.3%,$41.8,$101.0,Collateral,16.1%,9,AUGUST,15,7.1%,$626.6,2004
389,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,9,JULY,11,8.6%,$764.6,2004
390,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,9,JUNE,12,14.9%,"$1,322.2",2004
391,-46.7%,$119.9,$441.2,Shrek 2,46.0%,9,MAY,8,10.8%,$959.5,2004
392,-48.5%,$35.2,$86.1,Mean Girls,12.9%,9,APRIL,19,7.5%,$669.5,2004
393,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,9,MARCH,12,5.8%,$512.7,2004
394,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,9,FEBRUARY,12,8.4%,$749.2,2004
395,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,9,JANUARY,13,4.6%,$410.2,2004
396,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,10,DECEMBER,13,11.0%,$973.4,2004
397,-43.9%,$89.0,$261.4,The Incredibles,29.4%,10,NOVEMBER,10,10.0%,$889.8,2004
398,-38.1%,$58.3,$160.9,Shark Tale,23.0%,10,OCTOBER,12,7.9%,$699.7,2004
399,-47.7%,$23.6,$67.1,The Forgotten,21.9%,10,SEPTEMBER,13,3.5%,$306.7,2004
400,-42.3%,$41.8,$101.0,Collateral,16.1%,10,AUGUST,15,7.1%,$626.6,2004
401,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,10,JULY,11,8.6%,$764.6,2004
402,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,10,JUNE,12,14.9%,"$1,322.2",2004
403,-46.7%,$119.9,$441.2,Shrek 2,46.0%,10,MAY,8,10.8%,$959.5,2004
404,-48.5%,$35.2,$86.1,Mean Girls,12.9%,10,APRIL,19,7.5%,$669.5,2004
405,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,10,MARCH,12,5.8%,$512.7,2004
406,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,10,FEBRUARY,12,8.4%,$749.2,2004
407,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,10,JANUARY,13,4.6%,$410.2,2004
408,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,11,DECEMBER,13,11.0%,$973.4,2004
409,-43.9%,$89.0,$261.4,The Incredibles,29.4%,11,NOVEMBER,10,10.0%,$889.8,2004
410,-38.1%,$58.3,$160.9,Shark Tale,23.0%,11,OCTOBER,12,7.9%,$699.7,2004
411,-47.7%,$23.6,$67.1,The Forgotten,21.9%,11,SEPTEMBER,13,3.5%,$306.7,2004
412,-42.3%,$41.8,$101.0,Collateral,16.1%,11,AUGUST,15,7.1%,$626.6,2004
413,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,11,JULY,11,8.6%,$764.6,2004
414,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,11,JUNE,12,14.9%,"$1,322.2",2004
415,-46.7%,$119.9,$441.2,Shrek 2,46.0%,11,MAY,8,10.8%,$959.5,2004
416,-48.5%,$35.2,$86.1,Mean Girls,12.9%,11,APRIL,19,7.5%,$669.5,2004
417,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,11,MARCH,12,5.8%,$512.7,2004
418,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,11,FEBRUARY,12,8.4%,$749.2,2004
419,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,11,JANUARY,13,4.6%,$410.2,2004
420,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,12,DECEMBER,13,11.0%,$973.4,2004
421,-43.9%,$89.0,$261.4,The Incredibles,29.4%,12,NOVEMBER,10,10.0%,$889.8,2004
422,-38.1%,$58.3,$160.9,Shark Tale,23.0%,12,OCTOBER,12,7.9%,$699.7,2004
423,-47.7%,$23.6,$67.1,The Forgotten,21.9%,12,SEPTEMBER,13,3.5%,$306.7,2004
424,-42.3%,$41.8,$101.0,Collateral,16.1%,12,AUGUST,15,7.1%,$626.6,2004
425,-55.0%,$69.5,$176.2,The Bourne Supremacy,23.1%,12,JULY,11,8.6%,$764.6,2004
426,-48.4%,$110.2,$373.6,Spider-Man 2,28.3%,12,JUNE,12,14.9%,"$1,322.2",2004
427,-46.7%,$119.9,$441.2,Shrek 2,46.0%,12,MAY,8,10.8%,$959.5,2004
428,-48.5%,$35.2,$86.1,Mean Girls,12.9%,12,APRIL,19,7.5%,$669.5,2004
429,-45.8%,$42.7,$88.2,Starsky and Hutch,17.2%,12,MARCH,12,5.8%,$512.7,2004
430,-43.7%,$62.4,$370.3,Passion of the Christ,49.4%,12,FEBRUARY,12,8.4%,$749.2,2004
431,-40.3%,$31.6,$88.1,Along Came Polly,21.5%,12,JANUARY,13,4.6%,$410.2,2004
432,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,1,DECEMBER,12,11.9%,"$1,011.0",2005
433,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,1,NOVEMBER,15,10.8%,$918.4,2005
434,-45.5%,$27.2,$87.0,Saw II,18.8%,1,OCTOBER,17,5.5%,$462.7,2005
435,-42.9%,$27.0,$89.7,Flightplan,18.4%,1,SEPTEMBER,18,5.7%,$486.4,2005
436,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,1,AUGUST,13,6.0%,$512.7,2005
437,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,1,JULY,13,11.1%,$938.0,2005
438,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,1,JUNE,13,11.3%,$960.2,2005
439,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,1,MAY,10,12.2%,"$1,030.8",2005
440,-44.0%,$42.0,$74.1,Sin City,16.0%,1,APRIL,11,5.5%,$462.5,2005
441,-49.4%,$53.9,$128.2,Robots,21.6%,1,MARCH,11,7.0%,$593.2,2005
442,-43.3%,$46.8,$179.5,Hitch,34.9%,1,FEBRUARY,11,6.1%,$514.9,2005
443,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,1,JANUARY,13,6.9%,$586.9,2005
444,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,2,DECEMBER,12,11.9%,"$1,011.0",2005
445,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,2,NOVEMBER,15,10.8%,$918.4,2005
446,-45.5%,$27.2,$87.0,Saw II,18.8%,2,OCTOBER,17,5.5%,$462.7,2005
447,-42.9%,$27.0,$89.7,Flightplan,18.4%,2,SEPTEMBER,18,5.7%,$486.4,2005
448,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,2,AUGUST,13,6.0%,$512.7,2005
449,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,2,JULY,13,11.1%,$938.0,2005
450,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,2,JUNE,13,11.3%,$960.2,2005
451,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,2,MAY,10,12.2%,"$1,030.8",2005
452,-44.0%,$42.0,$74.1,Sin City,16.0%,2,APRIL,11,5.5%,$462.5,2005
453,-49.4%,$53.9,$128.2,Robots,21.6%,2,MARCH,11,7.0%,$593.2,2005
454,-43.3%,$46.8,$179.5,Hitch,34.9%,2,FEBRUARY,11,6.1%,$514.9,2005
455,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,2,JANUARY,13,6.9%,$586.9,2005
456,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,3,DECEMBER,12,11.9%,"$1,011.0",2005
457,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,3,NOVEMBER,15,10.8%,$918.4,2005
458,-45.5%,$27.2,$87.0,Saw II,18.8%,3,OCTOBER,17,5.5%,$462.7,2005
459,-42.9%,$27.0,$89.7,Flightplan,18.4%,3,SEPTEMBER,18,5.7%,$486.4,2005
460,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,3,AUGUST,13,6.0%,$512.7,2005
461,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,3,JULY,13,11.1%,$938.0,2005
462,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,3,JUNE,13,11.3%,$960.2,2005
463,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,3,MAY,10,12.2%,"$1,030.8",2005
464,-44.0%,$42.0,$74.1,Sin City,16.0%,3,APRIL,11,5.5%,$462.5,2005
465,-49.4%,$53.9,$128.2,Robots,21.6%,3,MARCH,11,7.0%,$593.2,2005
466,-43.3%,$46.8,$179.5,Hitch,34.9%,3,FEBRUARY,11,6.1%,$514.9,2005
467,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,3,JANUARY,13,6.9%,$586.9,2005
468,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,4,DECEMBER,12,11.9%,"$1,011.0",2005
469,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,4,NOVEMBER,15,10.8%,$918.4,2005
470,-45.5%,$27.2,$87.0,Saw II,18.8%,4,OCTOBER,17,5.5%,$462.7,2005
471,-42.9%,$27.0,$89.7,Flightplan,18.4%,4,SEPTEMBER,18,5.7%,$486.4,2005
472,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,4,AUGUST,13,6.0%,$512.7,2005
473,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,4,JULY,13,11.1%,$938.0,2005
474,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,4,JUNE,13,11.3%,$960.2,2005
475,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,4,MAY,10,12.2%,"$1,030.8",2005
476,-44.0%,$42.0,$74.1,Sin City,16.0%,4,APRIL,11,5.5%,$462.5,2005
477,-49.4%,$53.9,$128.2,Robots,21.6%,4,MARCH,11,7.0%,$593.2,2005
478,-43.3%,$46.8,$179.5,Hitch,34.9%,4,FEBRUARY,11,6.1%,$514.9,2005
479,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,4,JANUARY,13,6.9%,$586.9,2005
480,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,5,DECEMBER,12,11.9%,"$1,011.0",2005
481,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,5,NOVEMBER,15,10.8%,$918.4,2005
482,-45.5%,$27.2,$87.0,Saw II,18.8%,5,OCTOBER,17,5.5%,$462.7,2005
483,-42.9%,$27.0,$89.7,Flightplan,18.4%,5,SEPTEMBER,18,5.7%,$486.4,2005
484,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,5,AUGUST,13,6.0%,$512.7,2005
485,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,5,JULY,13,11.1%,$938.0,2005
486,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,5,JUNE,13,11.3%,$960.2,2005
487,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,5,MAY,10,12.2%,"$1,030.8",2005
488,-44.0%,$42.0,$74.1,Sin City,16.0%,5,APRIL,11,5.5%,$462.5,2005
489,-49.4%,$53.9,$128.2,Robots,21.6%,5,MARCH,11,7.0%,$593.2,2005
490,-43.3%,$46.8,$179.5,Hitch,34.9%,5,FEBRUARY,11,6.1%,$514.9,2005
491,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,5,JANUARY,13,6.9%,$586.9,2005
492,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,6,DECEMBER,12,11.9%,"$1,011.0",2005
493,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,6,NOVEMBER,15,10.8%,$918.4,2005
494,-45.5%,$27.2,$87.0,Saw II,18.8%,6,OCTOBER,17,5.5%,$462.7,2005
495,-42.9%,$27.0,$89.7,Flightplan,18.4%,6,SEPTEMBER,18,5.7%,$486.4,2005
496,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,6,AUGUST,13,6.0%,$512.7,2005
497,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,6,JULY,13,11.1%,$938.0,2005
498,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,6,JUNE,13,11.3%,$960.2,2005
499,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,6,MAY,10,12.2%,"$1,030.8",2005
500,-44.0%,$42.0,$74.1,Sin City,16.0%,6,APRIL,11,5.5%,$462.5,2005
501,-49.4%,$53.9,$128.2,Robots,21.6%,6,MARCH,11,7.0%,$593.2,2005
502,-43.3%,$46.8,$179.5,Hitch,34.9%,6,FEBRUARY,11,6.1%,$514.9,2005
503,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,6,JANUARY,13,6.9%,$586.9,2005
504,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,7,DECEMBER,12,11.9%,"$1,011.0",2005
505,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,7,NOVEMBER,15,10.8%,$918.4,2005
506,-45.5%,$27.2,$87.0,Saw II,18.8%,7,OCTOBER,17,5.5%,$462.7,2005
507,-42.9%,$27.0,$89.7,Flightplan,18.4%,7,SEPTEMBER,18,5.7%,$486.4,2005
508,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,7,AUGUST,13,6.0%,$512.7,2005
509,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,7,JULY,13,11.1%,$938.0,2005
510,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,7,JUNE,13,11.3%,$960.2,2005
511,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,7,MAY,10,12.2%,"$1,030.8",2005
512,-44.0%,$42.0,$74.1,Sin City,16.0%,7,APRIL,11,5.5%,$462.5,2005
513,-49.4%,$53.9,$128.2,Robots,21.6%,7,MARCH,11,7.0%,$593.2,2005
514,-43.3%,$46.8,$179.5,Hitch,34.9%,7,FEBRUARY,11,6.1%,$514.9,2005
515,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,7,JANUARY,13,6.9%,$586.9,2005
516,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,8,DECEMBER,12,11.9%,"$1,011.0",2005
517,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,8,NOVEMBER,15,10.8%,$918.4,2005
518,-45.5%,$27.2,$87.0,Saw II,18.8%,8,OCTOBER,17,5.5%,$462.7,2005
519,-42.9%,$27.0,$89.7,Flightplan,18.4%,8,SEPTEMBER,18,5.7%,$486.4,2005
520,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,8,AUGUST,13,6.0%,$512.7,2005
521,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,8,JULY,13,11.1%,$938.0,2005
522,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,8,JUNE,13,11.3%,$960.2,2005
523,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,8,MAY,10,12.2%,"$1,030.8",2005
524,-44.0%,$42.0,$74.1,Sin City,16.0%,8,APRIL,11,5.5%,$462.5,2005
525,-49.4%,$53.9,$128.2,Robots,21.6%,8,MARCH,11,7.0%,$593.2,2005
526,-43.3%,$46.8,$179.5,Hitch,34.9%,8,FEBRUARY,11,6.1%,$514.9,2005
527,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,8,JANUARY,13,6.9%,$586.9,2005
528,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,9,DECEMBER,12,11.9%,"$1,011.0",2005
529,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,9,NOVEMBER,15,10.8%,$918.4,2005
530,-45.5%,$27.2,$87.0,Saw II,18.8%,9,OCTOBER,17,5.5%,$462.7,2005
531,-42.9%,$27.0,$89.7,Flightplan,18.4%,9,SEPTEMBER,18,5.7%,$486.4,2005
532,-51.2%,$39.4,$109.4,The 40-Year-Old Virgin,21.3%,9,AUGUST,13,6.0%,$512.7,2005
533,-44.9%,$72.2,$209.3,Wedding Crashers,22.3%,9,JULY,13,11.1%,$938.0,2005
534,-51.9%,$73.9,$234.3,War of the Worlds,24.4%,9,JUNE,13,11.3%,$960.2,2005
535,-44.9%,$103.1,$380.3,Revenge of the Sith,36.9%,9,MAY,10,12.2%,"$1,030.8",2005
536,-44.0%,$42.0,$74.1,Sin City,16.0%,9,APRIL,11,5.5%,$462.5,2005
537,-49.4%,$53.9,$128.2,Robots,21.6%,9,MARCH,11,7.0%,$593.2,2005
538,-43.3%,$46.8,$179.5,Hitch,34.9%,9,FEBRUARY,11,6.1%,$514.9,2005
539,-32.8%,$45.1,$82.7,Are We There Yet?,14.1%,9,JANUARY,13,6.9%,$586.9,2005
540,21.0%,$84.2,$291.7,The Chronicles of Narnia,28.9%,10,DECEMBER,12,11.9%,"$1,011.0",2005
541,-45.0%,$61.2,$290.0,Harry Potter / Goblet of Fire,31.6%,10,NOVEMBER,15,10.8%,$918.4,2005
542,-45.5%,$27.2,$87.0,Saw II,18.8%,10,OCTOBER,17,5.5%,$462.7,2005
543,-42.9%,$27.0,$89.7,Flightplan,18.4%,10,SEPTEMBER,18,5.7%,$486.4,2005
