,month,season,year,rank,movie_title,prodco,total_gross,numtheaters,open_tickets,opentheaters,startdate,enddate
218,6,Summer,2003,3,Charlie's Angels: Full Throttle,Sony,"$100,830,111","3,485","$37,634,221","3,459",6/27,10/2
219,6,Summer,2003,4,28 Days Later,FoxS,"$45,064,915","1,407","$10,061,858","1,260",6/27,10/30
220,6,Summer,2003,5,Rugrats Go Wild,Par.,"$39,402,572","3,041","$11,556,869","3,041",6/13,9/25
221,6,Summer,2003,6,Hollywood Homicide,SonR,"$30,940,691","2,840","$11,112,632","2,840",6/13,10/2
222,6,Summer,2003,7,Dumb and Dumberer: When Harry Met Lloyd,NL,"$26,276,465","2,609","$10,845,064","2,609",6/13,8/21
223,6,Summer,2003,8,Alex and Emma,WB,"$14,218,698","2,310","$6,111,074","2,310",6/20,8/14
224,6,Summer,2003,9,From Justin to Kelly,Fox,"$4,928,883","2,001","$2,715,848","2,001",6/20,7/24
225,7,Summer,2003,1,Pirates of the Caribbean: The Curse of the Black Pearl,BV,"$305,413,918","3,416","$46,630,690","3,269",7/9,1/8
226,7,Summer,2003,2,Terminator 3: Rise of the Machines,WB,"$150,371,112","3,504","$44,041,440","3,504",7/2,10/30
227,7,Summer,2003,3,Bad Boys II,Sony,"$138,608,444","3,202","$46,522,560","3,186",7/18,11/20
228,7,Summer,2003,4,Seabiscuit,Uni.,"$120,277,854","2,573","$20,854,735","1,989",7/25,2/5
229,7,Summer,2003,5,Spy Kids 3D: Game Over,Dim.,"$111,761,982","3,388","$33,417,739","3,344",7/25,2/5
230,7,Summer,2003,6,"Legally Blonde 2: Red, White and Blonde",MGM,"$90,186,328","3,375","$22,220,670","3,350",7/2,10/2
231,7,Summer,2003,7,The League of Extraordinary Gentlemen,Fox,"$66,465,204","3,002","$23,075,892","3,002",7/11,11/13
232,7,Summer,2003,8,Lara Croft Tomb Raider: The Cradle of Life,Par.,"$65,660,196","3,222","$21,783,641","3,222",7/25,11/13
233,7,Summer,2003,9,Johnny English,Uni.,"$28,082,366","2,236","$9,134,085","2,236",7/18,9/25
234,7,Summer,2003,10,Sinbad: Legend of the Seven Seas,DW,"$26,483,452","3,086","$6,874,477","3,086",7/2,10/9
235,7,Summer,2003,11,How to Deal,NL,"$14,195,227","2,319","$5,809,960","2,319",7/18,8/21
236,8,Fall,2003,1,S.W.A.T.,Sony,"$116,934,650","3,220","$37,062,535","3,202",8/8,12/11
237,8,Fall,2003,2,Freaky Friday,BV,"$110,230,332","3,067","$22,203,007","2,954",8/6,1/15
238,8,Fall,2003,3,American Wedding,Uni.,"$104,565,114","3,175","$33,369,440","3,172",8/1,11/20
239,8,Fall,2003,4,Freddy Vs. Jason,NL,"$82,622,655","3,014","$36,428,066","3,014",8/15,11/20
240,8,Fall,2003,5,Open Range,BV,"$58,331,254","2,268","$14,047,781","2,075",8/15,12/4
241,8,Fall,2003,6,Uptown Girls,MGM,"$37,182,494","2,495","$11,277,367","2,495",8/15,11/20
242,8,Fall,2003,7,Jeepers Creepers 2,UA,"$35,667,218","3,124","$15,269,324","3,124",8/29,1/2
243,8,Fall,2003,8,Bend It Like Beckham,FoxS,"$32,543,449","1,002","$161,528",6,8/1,10/23
244,8,Fall,2003,9,The Medallion,TriS,"$22,219,192","2,652","$8,111,324","2,648",8/22,11/13
245,8,Fall,2003,10,My Boss's Daughter,Dim.,"$15,550,605","2,206","$4,855,798","2,201",8/22,11/13
246,8,Fall,2003,11,Le Divorce,FoxS,"$9,081,057",701,"$516,834",34,8/29,10/30
247,8,Fall,2003,12,Gigli,SonR,"$6,087,542","2,215","$3,753,518","2,215",8/1,8/21
248,8,Fall,2003,13,Grind,WB,"$5,123,696","2,253","$2,511,403","2,253",8/15,9/18
249,8,Fall,2003,14,Marci X,Par.,"$1,648,818","1,200","$872,950","1,200",8/22,9/18
250,9,Fall,2003,1,Once Upon a Time in Mexico,Sony,"$56,359,780","3,289","$23,424,118","3,282",9/12,12/25
251,9,Fall,2003,2,Underworld,SGem,"$51,970,690","2,928","$21,753,759","2,915",9/19,1/11
252,9,Fall,2003,3,The Rundown,Uni.,"$47,726,342","3,154","$18,553,765","3,152",9/26,12/25
253,9,Fall,2003,4,Under the Tuscan Sun,BV,"$43,610,723","1,701","$9,751,425","1,226",9/26,2/5
254,9,Fall,2003,5,Secondhand Lions,NL,"$42,070,939","3,038","$12,139,832","3,013",9/19,1/1
255,9,Fall,2003,6,Matchstick Men,WB,"$36,906,460","2,711","$13,087,307","2,711",9/12,12/4
256,9,Fall,2003,7,The Fighting Temptations,Par.,"$30,250,745","2,026","$11,758,372","2,026",9/19,12/25
257,9,Fall,2003,8,Dickie Roberts: Former Child Star,Par.,"$22,738,671","2,083","$6,660,540","2,026",9/5,11/27
258,9,Fall,2003,9,Cold Creek Manor,BV,"$21,386,011","2,035","$8,190,574","2,035",9/19,12/4
259,9,Fall,2003,10,Cabin Fever,Lions,"$21,158,188","2,105","$8,633,585","2,087",9/12,12/4
260,9,Fall,2003,11,Duplex,Mira.,"$9,692,135","2,191","$4,617,128","2,189",9/26,12/25
261,9,Fall,2003,12,The Order,Fox,"$7,660,806","1,975","$4,438,899","1,975",9/5,10/30
262,9,Fall,2003,13,Anything Else,DW,"$3,212,310","1,033","$1,673,125","1,033",9/19,10/16
263,10,Fall,2003,1,Scary Movie 3,Dim.,"$110,003,217","3,505","$48,113,770","3,505",10/24,2/19
264,10,Fall,2003,2,Mystic River,WB,"$90,135,191","1,581","$640,815",13,10/17,5/23
265,10,Fall,2003,3,School of Rock,Par.,"$81,261,177","2,951","$19,622,714","2,614",10/3,3/4
266,10,Fall,2003,4,The Texas Chainsaw Massacre,NL,"$80,571,655","3,018","$28,094,014","3,016",10/17,2/16
267,10,Fall,2003,5,Kill Bill Vol. 1,Mira.,"$70,099,045","3,102","$22,089,322","3,102",10/10,5/27
268,10,Fall,2003,6,Radio,SonR,"$52,333,738","3,074","$13,303,724","3,074",10/24,2/1
269,10,Fall,2003,7,Runaway Jury,Fox,"$49,443,628","2,815","$11,836,705","2,815",10/17,2/26
270,10,Fall,2003,8,Lost in Translation,Focus,"$44,585,453",882,"$925,087",23,10/3,3/25
271,10,Fall,2003,9,Out of Time,MGM,"$41,088,845","3,076","$16,185,316","3,076",10/3,2/1
272,10,Fall,2003,10,Good Boy!,MGM,"$37,667,746","3,225","$13,107,022","3,225",10/10,1/15
273,10,Fall,2003,11,Intolerable Cruelty,Uni.,"$35,327,628","2,570","$12,525,075","2,564",10/10,1/11
274,10,Fall,2003,12,House of the Dead,Art.,"$10,249,719","1,540","$5,683,280","1,520",10/10,11/20
275,10,Fall,2003,13,In the Cut,SGem,"$4,750,602",825,"$97,625",6,10/31,11/27
276,10,Fall,2003,14,Beyond Borders,Par.,"$4,430,101","1,798","$2,076,402","1,798",10/24,11/27
277,11,Winter,2003,1,Elf,NL,"$173,398,518","3,381","$31,113,501","3,337",11/7,3/4
278,11,Winter,2003,2,The Matrix Revolutions,WB,"$139,313,948","3,502","$48,475,154","3,502",11/5,3/4
279,11,Winter,2003,3,The Cat in the Hat,Uni.,"$101,149,285","3,467","$38,329,160","3,464",11/21,3/18
280,11,Winter,2003,4,Master and Commander: The Far Side of the World,Fox,"$93,927,920","3,101","$25,105,990","3,101",11/14,5/13
281,11,Winter,2003,5,Brother Bear,BV,"$85,336,277","3,030","$291,940",2,11/1,4/8
282,11,Winter,2003,6,The Haunted Mansion,BV,"$75,847,266","3,122","$24,278,410","3,122",11/26,4/15
283,11,Winter,2003,7,Bad Santa,Dim.,"$60,060,328","2,540","$12,292,952","2,005",11/26,3/25
284,11,Winter,2003,8,Love Actually,Uni.,"$59,696,144","1,714","$6,886,080",576,11/14,3/4
285,11,Winter,2003,9,Gothika,WB,"$59,694,580","2,382","$19,288,438","2,382",11/21,3/18
286,11,Winter,2003,10,The Missing,SonR,"$27,011,180","2,756","$10,833,633","2,756",11/26,2/16
287,11,Winter,2003,11,Looney Tunes: Back in Action,WB,"$20,991,364","2,903","$9,317,371","2,903",11/14,2/1
288,11,Winter,2003,12,Timeline,Par.,"$19,481,943","2,787","$8,440,629","2,787",11/26,2/19
289,11,Winter,2003,13,Tupac: Resurrection,Par.,"$7,718,961",804,"$4,632,847",801,11/14,12/25
