,month,season,year,rank,movie_title,prodco,total_tickets,numtheaters,open_tickets,opentheaters,startdate,enddate
1243,9,Fall,2009,2,Tyler Perry's I Can Do Bad All By Myself,LGF,"6,903,300","2,255","3,143,000","2,255",9/11,10/29
1244,9,Fall,2009,3,Surrogates,BV,"5,069,400","2,992","1,997,700","2,951",9/25,12/3
1245,9,Fall,2009,4,All About Steve,Fox,"4,522,900","2,265","1,506,900","2,251",9/4,12/10
1246,9,Fall,2009,5,The Informant!,WB,"4,415,200","2,505","1,402,700","2,505",9/18,12/17
1247,9,Fall,2009,6,9,Focus,"4,236,300","2,060","1,439,700","1,661",9/9,12/3
1248,9,Fall,2009,7,Love Happens,Uni.,"3,045,200","1,922","1,080,000","1,898",9/18,11/5
1249,9,Fall,2009,8,Fame (2009),MGM,"2,950,800","3,133","1,342,000","3,096",9/25,12/10
1250,9,Fall,2009,9,Gamer,LGF,"2,750,200","2,502","1,227,400","2,502",9/4,10/8
1251,9,Fall,2009,10,Jennifer's Body,Fox,"2,152,700","2,738","920,700","2,702",9/18,11/22
1252,9,Fall,2009,11,Sorority Row,Sum.,"1,597,800","2,665","678,300","2,665",9/11,11/5
1253,9,Fall,2009,12,Extract,Mira.,"1,449,800","1,614","581,800","1,611",9/4,10/15
1254,9,Fall,2009,13,Whiteout,WB,"1,375,100","2,745","658,900","2,745",9/11,12/17
1255,9,Fall,2009,14,Pandorum,Over.,"1,357,500","2,506","593,000","2,506",9/25,11/19
1256,10,Fall,2009,1,Couples Retreat,Uni.,"14,345,100","3,074","4,505,500","3,000",10/9,2/4
1257,10,Fall,2009,2,Paranormal Activity,Par.,"14,180,500","2,712","10,400",12,10/16,1/21
1258,10,Fall,2009,3,Where the Wild Things Are,WB,"10,143,700","3,735","4,296,400","3,735",10/16,2/11
1259,10,Fall,2009,4,Zombieland,Sony,"9,933,000","3,171","3,250,100","3,036",10/2,12/13
1260,10,Fall,2009,5,Law Abiding Citizen,Over.,"9,636,300","2,890","2,764,700","2,890",10/16,2/4
1261,10,Fall,2009,6,Michael Jackson's This Is It,Sony,"9,473,200","3,481","3,053,100","3,481",10/28,12/3
1262,10,Fall,2009,7,Toy Story / Toy Story 2 (3D),BV,"4,276,100","1,752","1,641,500","1,745",10/2,11/5
1263,10,Fall,2009,8,The Stepfather (2009),SGem,"3,819,000","2,734","1,521,900","2,734",10/16,11/22
1264,10,Fall,2009,9,Saw VI,LGF,"3,639,100","3,036","1,855,200","3,036",10/23,11/24
